Subj	Num	Term	Title	Period Code	Instructor	WC	Dist	Xlist	Lang Req	NR Eligible or CT/NC
HIST	37	Spring	Black Radical Tradition	10	Darryl Barthe	W	SOC	AAAS 024 01	N/A	N/A
HIST	37	Winter	Black Radical Tradition	12	Darryl Barthe	W	SOC	AAAS 024 01	N/A	N/A
HIST	38.02	Summer	Lewis&Clark inIndianCountry	10A	Colin Calloway	N/A	SOC	NAIS 038 01	N/A	N/A
HIST	38.03	Spring	Pan -Indianism	10	Maurice Crandall	NW	SOC	NAS 051 01	N/A	N/A
HIST	39	Spring	20thC NativeAmericanHistory	12	Maurice Crandall	NW	SOC	NAS 016 01	N/A	NR Eligible
HIST	40.01	Summer	The Global Thirties	12	Stefan Link	W	INT or SOC	N/A	N/A	N/A
HIST	40.02	Spring	Intellectual Hist Capitalsm	3A	Tiraana Bains	W	TMV	N/A	N/A	NR Eligible
HIST	43.02	Fall	Europ Intel&CHist1400-1800	11	Darrin McMahon	W	TMV	N/A	N/A	NR Eligible
HIST	43.03	Winter	Eur Intel&Cult Hist, 1800-	2	Udi Greenberg	W	TMV	N/A	N/A	NR Eligible
HIST	49	Fall	Early Mod England 1485-1780	10	Carl Estabrook	W	SOC	N/A	N/A	NR Eligible
HIST	50	Spring	Modern Britain 1780-Present	10	Carl Estabrook	W	SOC	N/A	N/A	NR Eligible
HIST	52	Fall	Modern Germany 1871-1990	2	Udi Greenberg	W	SOC	N/A	N/A	NR Eligible
